ticker,name,naver_tab,asset_class,risk_type,region,nav,market_cap_억,return_3m_pct
464240,KIWOOM 26-09회사채(AA-이상)액티브,6,bond_money_market,안전자산,KRX,52218.0,1999,0.6981
471040,KoAct 글로벌AI&로봇액티브,4,overseas_equity,위험자산,Global,24800.0,1988,14.3861
396520,TIGER 차이나반도체FACTSET,4,overseas_equity,위험자산,China,10153.0,1977,1.7173
0092C0,SOL 27-12 회사채(AA-이상)액티브,6,bond_money_market,안전자산,KRX,49630.0,1976,0.0805
452360,SOL 미국배당다우존스(H),4,overseas_equity,위험자산,USA,12013.0,1967,8.7199
367760,RISE 네트워크인프라,2,domestic_theme,위험자산,KRX,34112.0,1967,52.749
332930,HANARO 200TR,1,domestic_equity,위험자산,KRX,108844.0,1963,38.5698
0111P0,1Q 미국나스닥100미국채혼합50액티브,7,mixed_bond,안전자산,KRX,10530.0,1953,-1.1636
471760,TIGER AI반도체핵심공정,2,domestic_theme,위험자산,KRX,19523.0,1930,72.1136
490090,TIGER 미국AI빅테크10,4,overseas_equity,위험자산,USA,14261.0,1927,-7.6039
463290,1Q 단기금융채액티브,6,bond_money_market,안전자산,KRX,107857.0,1923,0.6527
0167A0,SOL AI반도체TOP2플러스,2,domestic_theme,위험자산,KRX,10398.0,1905,
0123G0,TIGER 미국AI전력SMR,4,overseas_equity,위험자산,USA,7205.0,1886,-8.0311
414780,TIGER 차이나과창판STAR50(합성),4,overseas_equity,위험자산,China,11561.0,1879,-1.3401
304660,KODEX 미국30년국채울트라선물(H),6,bond_money_market,안전자산,KRX,7523.0,1871,-2.164
0043Y0,TIME 차이나AI테크액티브,4,overseas_equity,위험자산,China,15896.0,1867,12.6511
114100,RISE 국고채3년,6,bond_money_market,안전자산,KRX,106727.0,1796,-0.9316
0001S0,TIGER 26-04 회사채(A+이상)액티브,6,bond_money_market,안전자산,KRX,51190.0,1774,0.5106
458210,KIWOOM CD금리액티브(합성),7,mixed_bond,안전자산,KRX,109212.0,1769,0.6358
465780,마이티 26-09 특수채(AAA)액티브,6,bond_money_market,안전자산,KRX,105147.0,1749,0.6312
0015B0,KoAct 미국나스닥성장기업액티브,4,overseas_equity,위험자산,USA,16611.0,1738,11.8335
237370,KODEX 코리아배당성장채권혼합,7,mixed_bond,안전자산,KRX,15685.0,1692,7.0667
0092B0,SOL 한국원자력SMR,2,domestic_theme,위험자산,KRX,20197.0,1661,91.5504
